id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,adjusted points per game,value,valuePoints metric,team_name,position
11,,,111457,0,0,0,0,0,2,2.7,,0,Sead,0.0,False,,,4.5,111457.jpg,0.0,Kolasinac,0.2,False,,a,1,3,0,0,0,0,0,0.0,0.0,Kolasinac,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,394,143,381,143,375,141,394,143,,,,,,,3.2467060179188136,0.7214902262041808,1.530511894526377,Arsenal,defender
12,,,153256,0,0,0,0,0,3,2.0,,0,Mohamed Naser,0.0,False,,,4.5,153256.jpg,2.2,El Sayed Elneny,0.6,False,,a,1,3,50,0,0,0,0,0.0,11.1,Elneny,1538,1,0,5,20,0,0,0,3,0,0,3,258,200.2,99.9,79.0,37.8,246,108,225,132,256,134,277,125,,,,,,,2.2080765044797035,0.4906836676621563,1.0408972464641908,Arsenal,midfielder
13,,,154043,0,0,0,0,0,3,2.8,,0,Ainsley,0.0,False,,,5.5,154043.jpg,2.6,Maitland-Niles,0.1,False,,a,1,3,68,0,0,0,0,0.0,12.4,Maitland-Niles,1714,0,2,6,23,0,0,0,2,0,0,1,273,218.2,128.9,142.0,48.8,241,103,201,124,201,109,245,116,,,,,,,2.4262745017977654,0.44114081850868464,1.0345669237172708,Arsenal,midfielder
14,,,156074,0,0,0,0,0,2,2.7,,0,Rob,0.0,False,,,4.5,156074.jpg,3.5,Holding,3.0,False,,a,1,3,105,0,0,0,0,0.0,23.3,Holding,2557,0,1,11,26,1,0,0,2,0,0,10,536,602.6,76.1,97.0,77.7,63,21,259,80,234,74,181,53,,,,,,,3.4457410087107108,0.7657202241579357,1.6243378889812787,Arsenal,defender
15,0.0,,167199,0,0,0,0,0,3,0.0,,0,Thomas,0.0,False,Ankle injury - Expected back 28 Aug,2021-08-04T10:30:07.806099Z,5.0,167199.jpg,2.0,Partey,0.2,False,,i,1,3,47,0,0,0,0,0.0,9.4,Partey,1529,0,2,6,18,0,0,0,5,0,0,0,273,289.4,195.7,129.0,61.7,207,86,165,103,208,110,218,101,,,,,,,2.270914778841993,0.4541829557683986,1.0155839633199195,Arsenal,midfielder
16,,,192895,0,0,0,0,0,2,3.2,,0,Kieran,0.0,False,,,5.0,192895.jpg,3.6,Tierney,8.5,False,,a,1,3,96,0,0,0,0,0.0,19.2,Tierney,2299,1,4,8,27,0,0,0,4,0,0,4,483,446.4,490.1,201.0,113.9,149,55,56,12,158,33,105,19,,,,,,,3.6386134764823503,0.72772269529647,1.6272374154522735,Arsenal,defender
17,,,195735,0,0,0,0,0,3,3.5,,0,Nicolas,0.0,False,,,7.5,195735.jpg,3.9,Pépé,3.4,False,,a,1,3,114,0,0,0,0,0.0,15.2,Pépé,1606,10,3,4,21,0,0,0,1,1,0,11,351,476.2,235.9,774.0,148.5,135,50,148,94,37,19,70,42,5.0,,,,3.0,,3.4088631866547545,0.45451509155396724,1.2447408418531685,Arsenal,midfielder
18,,,198849,0,0,0,0,0,3,2.0,,0,Lucas,0.0,False,,,4.5,198849.jpg,0.0,Torreira,0.4,False,,a,1,3,0,0,0,0,0,0.0,0.0,Torreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,409,162,397,162,393,162,409,162,,,,,,,,,,Arsenal,midfielder
19,,,200089,0,0,0,0,0,3,3.1,,0,Joseph,0.0,False,,,6.0,200089.jpg,3.8,Willock,0.6,False,,a,1,3,79,0,0,0,0,0.0,13.2,Willock,1210,8,0,4,18,0,0,1,1,0,0,5,254,436.6,137.2,401.0,97.3,153,60,190,117,84,48,134,76,,,,,,,2.8687508541968905,0.4781251423661484,1.1711626319926272,Arsenal,midfielder
20,0.0,,205533,0,0,0,0,0,4,0.0,,0,Edward,0.0,False,Ankle injury - Expected back 11 Sep,2021-08-08T18:00:05.173437Z,5.5,205533.jpg,2.1,Nketiah,0.5,False,,i,1,3,36,0,0,0,0,0.0,6.5,Nketiah,411,2,1,1,6,0,0,0,0,0,0,5,120,116.6,97.3,211.0,42.1,294,35,231,34,155,36,262,37,,,,,,,2.20331123388582,0.4006020425246945,0.9394950668376414,Arsenal,forward
21,,,209289,0,0,0,0,0,3,2.8,,0,Emile,0.0,False,,,5.5,209289.jpg,3.7,Smith Rowe,7.9,False,,a,1,3,74,0,0,0,0,0.0,13.5,Smith Rowe,1438,2,5,9,10,0,0,0,0,0,0,3,308,273.2,385.1,222.0,88.1,218,93,81,55,149,86,152,86,,,,,,,3.45443893541893,0.6280798064398054,1.4729777112760563,Arsenal,midfielder
22,,,223340,0,0,0,0,0,3,3.2,,0,Bukayo,0.0,False,,,6.5,223340.jpg,3.6,Saka,14.9,False,,a,1,3,114,0,0,0,0,0.0,17.5,Saka,2554,5,5,8,31,1,0,0,1,0,0,8,414,493.0,650.6,984.0,212.7,126,45,35,26,20,8,25,16,3.0,,6.0,,,,4.052368566125531,0.6234413178654663,1.5894697226880072,Arsenal,midfielder
23,0.0,,226597,0,0,0,0,0,2,0.0,,0,Gabriel,0.0,False,Knee injury - Unknown return date,2021-08-04T10:30:07.822243Z,5.0,226597.jpg,3.4,Magalhães,0.3,False,,i,1,3,78,0,0,0,0,0.0,15.6,Gabriel,1996,2,0,6,24,0,0,0,2,1,0,7,385,464.8,51.0,233.0,74.9,140,53,276,93,143,25,187,56,,,,,,,3.3520906333034293,0.6704181266606859,1.4991005045613577,Arsenal,defender
24,0.0,,233963,0,0,0,0,0,2,0.0,,0,Konstantinos,0.0,False,Season long loan to Stuttgart,2021-07-02T08:43:27.623007Z,4.5,233963.jpg,0.0,Mavropanos,0.0,False,,u,1,3,0,0,0,0,0,0.0,0.0,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,423,162,413,162,409,161,423,162,,,,,,,,,,Arsenal,defender
25,0.0,,242166,0,0,0,0,0,3,0.0,,0,Mattéo,0.0,False,Season long loan to Marseille,2021-07-08T07:32:22.717852Z,4.5,242166.jpg,0.0,Guendouzi,0.0,False,,u,1,3,0,0,0,0,0,0.0,0.0,Guendouzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,427,166,417,166,413,166,427,166,,,,,,,,,,Arsenal,midfielder
26,,,444145,0,0,0,0,0,3,2.8,,0,Gabriel Teodoro,0.0,False,,,5.5,444145.jpg,2.6,Martinelli Silva,0.3,False,,a,1,3,36,0,0,0,0,0.0,6.5,Martinelli,582,2,1,4,3,0,0,0,0,0,0,0,107,142.6,133.8,300.0,57.5,285,123,195,120,115,68,224,105,,,,,,,3.422363428973258,0.622247896176956,1.4593006693726838,Arsenal,midfielder
27,0.0,,462424,0,0,0,0,0,2,0.0,,0,William,0.0,False,Joined Marseille on loan for 2021/22. - Expected back 23 May,2021-07-15T17:30:06.383244Z,4.5,462424.jpg,0.0,Saliba,0.0,False,,u,1,3,0,0,0,0,0,0.0,0.0,Saliba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,433,167,423,167,419,166,433,167,,,,,,,,,,Arsenal,defender
67,,,198869,0,0,0,0,0,2,2.7,,0,Ben,0.0,False,,,4.5,198869.jpg,2.9,White,24.2,False,,a,1,3,104,0,0,0,0,0.0,23.1,White,3192,0,0,12,44,0,0,0,3,1,0,5,571,488.6,152.5,153.0,79.7,129,49,184,43,192,51,173,46,,,,,,,3.2203925271223666,0.7156427838049704,1.5181075960071386,Arsenal,defender
466,,,437626,0,0,0,0,0,2,2.7,,0,Nuno,0.0,False,,,4.5,437626.jpg,0.0,Varela Tavares,0.5,False,,a,1,3,0,0,0,0,0,0.0,0.0,Tavares,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,432,166,422,166,418,165,432,166,,,,,,,,,,Arsenal,defender
478,,,437742,0,0,0,0,0,3,2.4,,0,Albert,0.0,False,,,5.0,437742.jpg,0.0,Sambi Lokonga,0.2,False,,a,1,3,0,0,0,0,0,0.0,0.0,Sambi Lokonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,460,186,458,186,456,186,460,186,,,,,,,,,,Arsenal,midfielder
28,,,79852,0,0,0,0,0,1,1.5,,0,Jed,0.0,False,,,4.0,79852.jpg,0.0,Steer,1.0,False,,a,2,7,0,0,0,0,0,0.0,0.0,Steer,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,368,39,344,14,337,10,368,39,,,,,,,,,,Aston Villa,goalkeeper
29,,,85242,0,0,0,0,0,3,1.9,,0,Conor,0.0,False,,,5.0,85242.jpg,0.0,Hourihane,0.1,False,,a,2,7,0,0,0,0,0,0.0,0.0,Hourihane,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,442,175,438,175,433,175,442,175,,,,,,,4.166313918088805,0.833262783617761,1.8632322272900115,Aston Villa,midfielder
30,,,98980,0,0,0,0,0,1,3.8,,0,Emiliano,0.0,False,,,5.5,98980.jpg,4.9,Martínez,38.9,False,,a,2,7,186,0,0,0,0,0.0,33.8,Martínez,3420,0,0,15,46,0,1,0,1,0,142,27,825,1067.2,20.0,0.0,108.5,3,1,303,2,462,51,110,1,,,,,,,4.329367238920893,0.7871576798037988,1.8460483934088914,Aston Villa,goalkeeper
31,0.0,,108156,0,0,0,0,0,2,0.0,,0,Björn,0.0,False,Transferred to Royal Antwerp,2021-06-25T10:09:04.469362Z,4.5,108156.jpg,0.0,Engels,0.0,False,,u,2,7,0,0,0,0,0,0.0,0.0,Engels,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,393,142,380,142,374,140,393,142,,,,,,,,,,Aston Villa,defender
32,,,110504,0,0,0,0,0,3,2.6,,0,Bertrand,0.0,False,,,6.0,110504.jpg,3.8,Traoré,1.9,False,,a,2,7,135,0,0,0,0,0.0,22.5,Traoré,2315,7,7,11,31,0,0,0,1,0,0,7,407,528.4,530.6,917.0,197.6,102,38,51,37,25,11,36,23,4.0,,1.0,,,,3.4939583216083463,0.5823263869347244,1.4264025117485954,Aston Villa,midfielder
34,,,122775,0,0,0,0,0,3,1.9,,0,Morgan,0.0,False,,,5.0,122775.jpg,1.1,Sanson,0.1,False,,a,2,7,10,0,0,0,0,0.0,2.0,Sanson,288,0,0,1,4,0,0,0,3,0,0,0,29,25.8,28.8,10.0,6.2,345,155,297,152,316,153,343,156,6.0,,,,,,1.271551487149578,0.2543102974299156,0.5686551124314814,Aston Villa,midfielder
35,,,122806,0,0,0,0,0,3,2.6,,0,John,0.0,False,,,6.0,122806.jpg,3.1,McGinn,0.8,False,,a,2,7,114,0,0,0,0,0.0,19.0,McGinn,3330,3,7,14,46,0,0,0,12,0,0,2,492,579.0,600.5,361.0,154.1,78,27,40,28,94,56,63,36,,,,,,,2.6795320047419016,0.4465886674569836,1.093914360179089,Aston Villa,midfielder
36,,,123354,0,0,0,0,0,2,2.2,,0,Kortney,0.0,False,,,4.5,123354.jpg,4.6,Hause,0.2,False,,a,2,7,32,0,0,0,0,0.0,7.1,Hause,630,1,0,3,6,0,0,0,2,0,0,3,124,147.0,2.2,57.0,20.7,283,107,332,123,277,96,309,107,,,,,,,4.041705948598312,0.8981568774662916,1.9052784558772495,Aston Villa,defender
37,0.0,,148508,0,0,0,0,0,3,0.0,,0,Mahmoud Ahmed,0.0,False,Knee injury - Unknown return date,2021-06-22T11:30:10.533711Z,5.5,148508.jpg,2.7,Ibrahim Hassan,0.0,False,,i,2,7,56,0,0,0,0,0.0,10.2,Trézéguet,1157,2,1,6,14,0,0,0,0,0,0,3,152,213.6,180.1,478.0,86.7,242,104,173,107,66,37,161,90,,,,,,,3.2750128131164287,0.5954568751120779,1.396470155660451,Aston Villa,midfielder
38,,,149484,0,0,0,0,0,2,2.7,,0,Tyrone,0.0,False,,,5.0,149484.jpg,3.6,Mings,8.1,False,,a,2,7,128,0,0,0,0,0.0,25.6,Mings,3194,2,2,14,42,1,0,0,4,1,0,8,633,798.4,97.3,293.0,119.3,20,3,230,62,121,17,93,17,,,,,,,2.9275774955596385,0.5855154991119277,1.3092524578939881,Aston Villa,defender
39,,,169359,0,0,0,0,0,2,2.7,,0,Matt,0.0,False,,,5.0,169359.jpg,3.6,Targett,9.7,False,,a,2,7,138,0,0,0,0,0.0,27.6,Targett,3404,0,4,16,44,0,0,0,7,0,0,9,710,690.4,607.0,122.0,142.2,51,15,39,9,211,62,76,12,5.0,,6.0,,,,2.96596765890338,0.593193531780676,1.3264210608747735,Aston Villa,defender
40,,,178301,0,0,0,0,0,4,2.8,,0,Ollie,0.0,False,,,7.5,178301.jpg,4.5,Watkins,25.7,False,,a,2,7,168,0,0,0,0,0.0,22.4,Watkins,3328,14,9,14,46,0,0,1,2,1,0,18,531,815.4,610.4,1721.0,314.0,17,4,38,3,2,1,6,2,,,,,3.0,,4.488735201262825,0.5984980268350434,1.6390543495994276,Aston Villa,forward
41,,,184704,0,0,0,0,0,3,1.5,,0,Marvelous,0.0,False,,,4.5,184704.jpg,2.1,Nakamba,0.1,False,,a,2,7,27,0,0,0,0,0.0,6.0,Nakamba,747,0,1,4,6,0,0,0,3,0,0,1,115,110.8,32.5,10.0,15.4,299,132,289,150,315,152,320,147,,,,,,,1.864077576775116,0.41423946150558133,0.8787345967969812,Aston Villa,midfielder
42,,,193488,0,0,0,0,0,3,2.6,,0,Anwar,0.0,False,,,6.0,193488.jpg,4.0,El Ghazi,0.9,False,,a,2,7,111,0,0,0,0,0.0,18.5,El Ghazi,1604,10,0,5,22,0,0,0,2,0,0,13,339,500.4,426.1,726.0,165.1,120,43,69,50,42,22,53,31,1.0,,3.0,,1.0,,3.9054884240865153,0.6509147373477525,1.5944089725597264,Aston Villa,midfielder
43,,,195546,0,0,0,0,0,3,2.7,,0,Emiliano,0.0,False,,,6.5,195546.jpg,0.0,Buendía Stati,14.3,False,,a,2,7,0,0,0,0,0,0.0,0.0,Buendía,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,489,204,489,204,489,204,489,204,,,,,,,,,,Aston Villa,midfielder
44,,,199796,0,0,0,0,0,2,2.7,,0,Matthew,0.0,False,,,5.0,199796.jpg,3.2,Cash,2.0,False,,a,2,7,89,0,0,0,0,0.0,17.8,Cash,2373,0,2,11,35,0,0,0,6,1,0,8,468,520.8,352.9,110.0,98.7,107,38,95,19,222,69,133,30,,,,,,,2.75392188378982,0.550784376757964,1.2315913073756628,Aston Villa,defender
45,,,199798,0,0,0,0,0,2,2.7,,0,Ezri,0.0,False,,,5.0,199798.jpg,3.3,Konsa Ngoyo,1.2,False,,a,2,7,119,0,0,0,0,0.0,23.8,Konsa,3195,2,0,12,46,0,0,0,3,0,0,8,580,695.6,34.2,276.0,101.0,46,10,286,100,130,18,130,28,,,,,,,3.013029478010077,0.6026058956020154,1.3474677462082478,Aston Villa,defender
46,,,203368,0,0,0,0,0,2,2.2,,0,Frédéric,0.0,False,,,4.5,203368.jpg,0.0,Guilbert,0.1,False,,a,2,7,0,0,0,0,0,0.0,0.0,Guilbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,410,153,399,153,395,152,410,153,,,,,,,,,,Aston Villa,defender
47,,,213345,0,0,0,0,0,4,2.0,,0,Wesley,0.0,False,,,5.5,213345.jpg,1.0,Moraes,0.2,False,,a,2,7,3,0,0,0,0,0.0,0.5,Wesley,15,0,0,0,1,0,0,0,0,0,0,0,11,5.0,1.1,17.0,2.3,358,43,334,44,308,42,355,43,,,,,,,1.0,0.18181818181818182,0.4264014327112209,Aston Villa,forward
48,0.0,,217487,0,0,0,0,0,4,0.0,,0,Mbwana Ally,0.0,False,Transferred to Fenerbahce,2021-07-11T07:37:45.166277Z,5.5,217487.jpg,0.0,Samatta,0.0,False,,u,2,7,0,0,0,0,0,0.0,0.0,Samatta,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,477,56,476,56,475,56,477,56,,,,,,,,,,Aston Villa,forward
49,,,221239,0,0,0,0,0,4,1.5,,0,Keinan,0.0,False,,,4.5,221239.jpg,1.5,Davis,7.9,False,,a,2,7,23,0,0,0,0,0.0,5.1,Davis,265,1,1,1,1,0,0,0,0,0,0,0,85,77.2,76.7,169.0,31.7,320,38,258,37,178,38,291,38,,,,,,,1.4524597645928417,0.32276883657618705,0.6846960992961432,Aston Villa,forward
50,,,230046,0,0,0,0,0,3,1.5,,0,Douglas Luiz,0.0,False,,,4.5,230046.jpg,2.2,Soares de Paulo,1.7,False,,a,2,7,72,0,0,0,0,0.0,16.0,Douglas Luiz,2781,0,2,12,41,0,0,0,8,1,0,0,358,403.4,304.5,189.0,90.0,163,65,114,74,167,91,147,82,,,5.0,,,,2.312337859156944,0.513852857590432,1.0900465204028393,Aston Villa,midfielder
51,,,232653,0,0,0,0,0,3,1.5,,0,Jacob,0.0,False,,,4.5,232653.jpg,1.3,Ramsey,0.3,False,,a,2,7,28,0,0,0,0,0.0,6.2,Ramsey,611,0,0,2,10,0,0,0,0,0,0,0,75,72.8,91.7,126.0,28.9,322,142,237,138,209,111,297,139,,,,,,,1.6135514871495782,0.3585669971443507,0.7606354655714034,Aston Villa,midfielder
52,,,18892,0,0,0,0,0,2,2.7,,0,Ashley,0.0,False,,,5.0,18892.jpg,0.0,Young,0.9,False,,a,2,7,0,0,0,0,0,0.0,0.0,Young,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,437,169,428,169,424,168,437,169,,,,,,,,,,Aston Villa,defender
337,,,84939,0,0,0,0,0,4,3.0,,0,Danny,0.0,False,,,8.0,84939.jpg,4.5,Ings,15.0,False,,a,2,7,131,0,0,0,0,0.0,16.4,Ings,2172,12,4,6,40,0,0,0,1,0,0,21,464,634.6,300.7,866.0,178.4,58,7,115,19,31,15,43,14,,,,,1.0,,3.92029690860782,0.4900371135759775,1.3860342641706243,Aston Villa,forward
492,,,215711,0,0,0,0,0,3,2.7,,0,Leon,0.0,False,,,6.5,215711.jpg,0.0,Bailey,2.1,False,,a,2,7,0,0,0,0,0,0.0,0.0,Bailey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,490,205,490,205,490,205,490,205,,,,,,,,,,Aston Villa,midfielder
76,,,61810,0,0,0,0,0,2,0.7,,0,Pontus,0.0,False,,,4.5,61810.jpg,0.0,Jansson,0.6,False,,a,3,94,0,0,0,0,0,0.0,0.0,Jansson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,388,138,373,138,367,136,388,138,,,,,,,,,,Brentford,defender
77,,,128295,0,0,0,0,0,3,0.4,,0,Christian,0.0,False,,,5.0,128295.jpg,0.0,Nørgaard,0.2,False,,a,3,94,0,0,0,0,0,0.0,0.0,Nørgaard,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,446,179,443,179,439,179,446,179,,,,,,,,,,Brentford,midfielder
78,,,144485,0,0,0,0,0,4,1.0,,0,Ivan,0.0,False,,,6.5,144485.jpg,0.0,Toney,29.9,False,,a,3,94,0,0,0,0,0,0.0,0.0,Toney,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,488,60,488,60,488,60,488,60,,,2.0,,1.0,,,,,Brentford,forward
79,,,154138,0,0,0,0,0,3,0.8,,0,Tariqe,0.0,False,,,5.5,154138.jpg,0.0,Fosu-Henry,0.2,False,,a,3,94,0,0,0,0,0,0.0,0.0,Fosu,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,465,188,464,188,463,188,465,188,,,,,,,,,,Brentford,midfielder
80,,,154561,0,0,0,0,0,1,0.8,,0,David,0.0,False,,,4.5,154561.jpg,0.0,Raya Martin,1.8,False,,a,3,94,0,0,0,0,0,0.0,0.0,Raya,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,399,49,386,36,380,32,399,49,,,,,,,,,,Brentford,goalkeeper
81,,,174932,0,0,0,0,0,3,0.8,,0,Sergi,0.0,False,,,5.5,174932.jpg,0.0,Canós,0.3,False,,a,3,94,0,0,0,0,0,0.0,0.0,Canós,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,470,192,469,192,468,192,470,192,,,,,,,,,,Brentford,midfielder
82,,,183656,0,0,0,0,0,3,0.8,,0,Pelenda Joshua,0.0,False,,,5.5,183656.jpg,0.0,Dasilva,0.2,False,,a,3,94,0,0,0,0,0,0.0,0.0,Dasilva,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,471,193,470,193,469,193,471,193,,,,,2.0,,,,,Brentford,midfielder
83,,,194010,0,0,0,0,0,2,0.7,,0,Rico,0.0,False,,,4.5,194010.jpg,0.0,Henry,0.7,False,,a,3,94,0,0,0,0,0,0.0,0.0,Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,408,152,396,152,392,151,408,152,,,,,,,,,,Brentford,defender
84,,,204580,0,0,0,0,0,3,0.4,,0,Vitaly,0.0,False,,,5.0,204580.jpg,0.0,Janelt,0.1,False,,a,3,94,0,0,0,0,0,0.0,0.0,Janelt,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,450,180,448,180,445,180,450,180,3.0,,,,,,,,,Brentford,midfielder
85,,,205836,0,0,0,0,0,3,0.8,,0,Saman,0.0,False,,,5.5,205836.jpg,0.0,Ghoddos,0.1,False,,a,3,94,0,0,0,0,0,0.0,0.0,Ghoddos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,474,195,473,195,472,195,474,195,,,4.0,,,,,,,Brentford,midfielder
86,,,207283,0,0,0,0,0,3,0.4,,0,Mathias,0.0,False,,,5.0,207283.jpg,0.0,Jensen,0.2,False,,a,3,94,0,0,0,0,0,0.0,0.0,Jensen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,451,181,449,181,446,181,451,181,1.0,,1.0,,,,,,,Brentford,midfielder
